City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Asyut,EG,27.181,31.1837,55.81,38,50,3.96,scattered clouds
155,Kysyl-Syr,RU,63.8986,122.7617,-15.05,98,100,4.79,overcast clouds
156,Port Hawkesbury,CA,45.6169,-61.3485,32.18,79,100,3.0,overcast clouds
157,Poykovskiy,RU,61.2333,73.3333,21.49,92,40,8.95,light snow
158,Saint-Pierre,RE,-21.3393,55.4781,80.28,89,75,35.68,light rain
159,Mount Gambier,AU,-37.8333,140.7667,58.59,63,100,9.33,overcast clouds
160,Vestmanna,FO,62.1564,-7.1664,38.32,87,75,10.36,broken clouds
161,Charters Towers,AU,-20.1,146.2667,80.33,79,100,10.04,overcast clouds
162,Iowa City,US,41.6611,-91.5302,17.2,57,100,16.11,overcast clouds
163,Tahara,JP,34.6667,137.2667,42.03,65,86,15.08,overcast clouds
164,Rundu,NA,-17.9333,19.7667,68.63,61,42,3.85,scattered clouds
165,Solnechnyy,RU,50.7214,136.6319,-8.91,99,95,2.55,overcast clouds
166,Puerto Ayora,EC,-0.7393,-90.3518,82.36,90,37,7.0,scattered clouds
167,Verkhniye Tatyshly,RU,56.2912,55.8575,27.12,97,100,12.57,snow
168,Paita,PE,-5.0892,-81.1144,81.16,70,4,18.72,clear sky
169,Nara,JP,34.6851,135.8049,43.88,62,96,3.78,overcast clouds
170,Thompson,CA,55.7435,-97.8558,-9.24,59,20,12.66,few clouds
171,Okhotsk,RU,59.3833,143.3,7.0,75,100,15.39,overcast clouds
172,Nadym,RU,65.5333,72.5167,3.58,96,100,14.76,light snow
173,Hilo,US,19.7297,-155.09,80.33,66,75,6.91,broken clouds
174,Frankenberg,DE,51.0667,8.8,40.19,94,100,3.85,overcast clouds
175,Kutum,SD,14.2,24.6667,67.19,21,48,8.05,scattered clouds
176,Meulaboh,ID,4.1363,96.1285,76.08,85,71,3.15,broken clouds
177,Burnie,AU,-41.0667,145.9167,55.94,78,18,11.88,few clouds
178,Lagoa,PT,39.05,-27.9833,58.26,73,4,7.4,clear sky
179,Sonqor,IR,34.7837,47.6004,22.01,71,78,1.57,broken clouds
180,Baglung,NP,28.2719,83.5898,48.18,86,92,1.25,overcast clouds
181,Tres Arroyos,AR,-38.3739,-60.2798,86.52,34,100,14.76,overcast clouds
182,Tomatlan,MX,19.9333,-105.25,82.85,35,0,10.45,clear sky
183,Chuy,UY,-33.6971,-53.4616,74.48,74,0,13.22,clear sky
184,Kotelnikovo,RU,47.6317,43.1461,36.14,89,100,11.97,moderate rain
185,Porto Nacional,BR,-10.7081,-48.4172,77.0,80,74,1.88,broken clouds
186,Tahta,EG,26.7693,31.5021,56.88,36,81,2.26,broken clouds
