City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Pachino,IT,2022-02-01 15:53:38,36.7186,15.0907,53.64,64,97,15.84
273,Kununurra,AU,2022-02-01 15:52:33,-15.7667,128.7333,78.78,83,40,9.22
274,Antropovo,RU,2022-02-01 15:53:38,58.3988,43.0066,26.67,96,100,8.63
275,Joshimath,IN,2022-02-01 15:53:39,30.5667,79.5667,35.91,39,0,7.63
276,Gazojak,TM,2022-02-01 15:53:39,41.1875,61.4036,41.72,68,95,9.46
277,Nanortalik,GL,2022-02-01 15:53:40,60.1432,-45.2371,16.2,75,15,11.97
278,Iqaluit,CA,2022-02-01 15:54:40,63.7506,-68.5145,-25.31,67,75,3.44
279,George Town,MY,2022-02-01 15:54:40,5.4112,100.3354,85.89,78,20,5.01
280,Alagoinhas,BR,2022-02-01 15:54:41,-12.1356,-38.4192,91.6,43,64,6.76
281,Goderich,CA,2022-02-01 15:49:52,43.7501,-81.7165,31.91,69,100,16.11
282,Komsomolskiy,UZ,2022-02-01 15:54:41,40.4272,71.7189,35.02,74,0,4.61
283,Port Blair,IN,2022-02-01 15:51:09,11.6667,92.75,77.04,78,40,2.3
284,Yulara,AU,2022-02-01 15:54:42,-25.2406,130.9889,67.84,100,100,11.5
285,Zhangye,CN,2022-02-01 15:54:43,38.9342,100.4517,20.44,26,91,1.79
286,Vagur,FO,2022-02-01 15:54:43,61.4732,-6.8119,35.47,66,100,31.18
287,Jalu,LY,2022-02-01 15:54:43,29.0331,21.5482,62.73,30,54,12.24
288,La Asuncion,VE,2022-02-01 15:54:44,11.0333,-63.8628,82.13,74,7,16.11
289,Muros,ES,2022-02-01 15:54:44,42.7762,-9.0603,64.69,49,1,10.51
290,Mezen,RU,2022-02-01 15:54:45,65.8522,44.24,3.45,96,100,6.78
291,Gerash,IR,2022-02-01 15:54:40,27.6652,54.1371,60.94,56,44,4.9
292,Saint Anthony,US,2022-02-01 15:54:45,45.0205,-93.218,20.25,70,100,7.0
293,Palmer,US,2022-02-01 15:54:46,42.1584,-72.3287,31.03,55,20,3.0
